"Participant","Media","AOI","Total_duration_of_fixations","Number_of_fixations","Average_pupil_diameter","Subtitle_Type","Modality","Clip","Wordcount","Line","Prop_reading_time","Mean_fixation_duration"
"Participant47","E1-ST","SUB",35.456,184,4.63761,"SS","Interlingual","E1",480,47,0.215414899692577,192.695652173913
"Participant47","E2-LC","SUB",110.535,500,4.5395,"AC","Interlingual","E2",674,63,0.569242812044557,221.07
"Participant47","E3-SDH","SUB",42.954,200,4.41649,"SDH","Interlingual","E3",574,65,0.225285186059319,214.77
"Participant29","C1-ST","SUB",70.767,227,3.34152,"SS","Intralingual","C1",399,55,0.251158779395376,311.748898678414
"Participant29","C2-LC","SUB",61.093,187,3.15587,"AC","Intralingual","C2",569,80,0.320143583294031,326.700534759358
"Participant29","C3-SDH","SUB",109.817,444,3.07538,"SDH","Intralingual","C3",986,116,0.679569054072451,247.335585585586
"Participant47","C1-ST","SUB",65.3,181,4.93333,"SS","Intralingual","C1",399,55,0.316518586378552,360.773480662983
"Participant47","C2-LC","SUB",53.871,212,4.83563,"AC","Intralingual","C2",569,80,0.286729365928433,254.108490566038
"Participant47","C3-SDH","SUB",84.92,387,4.46233,"SDH","Intralingual","C3",986,116,0.422521195717072,219.431524547804
"Participant7","C1-ST","SUB",103.781,311,6.34156,"SS","Intralingual","C1",399,55,0.370485002962995,333.700964630225
"Participant7","C2-LC","SUB",142.956,419,5.68716,"AC","Intralingual","C2",569,80,0.520752737525408,341.183770883055
"Participant7","C3-SDH","SUB",230.86,692,5.74295,"SDH","Intralingual","C3",986,116,0.774991859329209,333.612716763006
"Participant41","E1-ST","SUB",40.345,212,4.78604,"SS","Interlingual","E1",480,47,0.242034662939211,190.306603773585
"Participant41","E2-LC","SUB",47.102,247,4.66301,"AC","Interlingual","E2",674,63,0.406886543079767,190.696356275304
"Participant41","E3-SDH","SUB",47.113,270,4.85781,"SDH","Interlingual","E3",574,65,0.223977522855092,174.492592592593
"Participant7","E1-ST","SUB",109.597,370,6.14952,"SS","Interlingual","E1",480,47,0.459285489785228,296.208108108108
"Participant7","E2-LC","SUB",157.078,601,5.90392,"AC","Interlingual","E2",674,63,0.644747913819076,261.361064891847
"Participant7","E3-SDH","SUB",101.156,391,5.50131,"SDH","Interlingual","E3",574,65,0.403750284384592,258.710997442455
"Participant35","E1-ST","SUB",96.846,220,4.62935,"SS","Interlingual","E1",480,47,0.413322464587663,440.209090909091
"Participant35","E2-LC","SUB",107.217,379,4.28354,"AC","Interlingual","E2",674,63,0.509814270634219,282.894459102902
"Participant35","E3-SDH","SUB",87.631,260,4.16391,"SDH","Interlingual","E3",574,65,0.343010693763798,337.042307692308
"Participant48","E1-ST","SUB",55.876,319,6.4325,"SS","Interlingual","E1",480,47,0.273383336513575,175.15987460815
"Participant48","E2-LC","SUB",87.914,500,6.30705,"AC","Interlingual","E2",674,63,0.456541946875081,175.828
"Participant48","E3-SDH","SUB",72.87,346,5.95897,"SDH","Interlingual","E3",574,65,0.310382280907252,210.606936416185
"Participant43","C1-ST","SUB",67.251,224,4.9232,"SS","Intralingual","C1",399,55,0.242461278878602,300.227678571429
"Participant43","C2-LC","SUB",121.329,395,5.07842,"AC","Intralingual","C2",569,80,0.457389619398034,307.162025316456
"Participant43","C3-SDH","SUB",175.565,705,4.63119,"SDH","Intralingual","C3",986,116,0.615233930117079,249.028368794326
"Participant17","E1-ST","SUB",67.903,256,5.32379,"SS","Interlingual","E1",480,47,0.370114190717576,265.24609375
"Participant17","E2-LC","SUB",132.757,521,5.02988,"AC","Interlingual","E2",674,63,0.649575535168196,254.811900191939
"Participant17","E3-SDH","SUB",78.946,325,5.15952,"SDH","Interlingual","E3",574,65,0.380451649590855,242.910769230769
"Participant35","C1-ST","SUB",59.938,227,4.15037,"SS","Intralingual","C1",399,55,0.217969838135448,264.044052863436
"Participant35","C2-LC","SUB",99.299,302,4.33357,"AC","Intralingual","C2",569,80,0.353290473157837,328.804635761589
"Participant35","C3-SDH","SUB",147.248,531,3.95198,"SDH","Intralingual","C3",986,116,0.498476621213557,277.303201506591
"Participant17","C1-ST","SUB",100.189,323,4.74947,"SS","Intralingual","C1",399,55,0.375984628721324,310.1826625387
